,openDt,year,month,day,movieNm,movieNmEn,directorpeopleNm,movieCd
1,,,,,태백권,The Therapist: Fist of Tae-baek,최상훈,20201785
7,,,,,블랙아웃 : 인베이젼 어스,Avanpost,예고르 바라노프,20200774
0,20200423,2020,04,23,대전 블루스,"Last Blues, Last Dance",박철웅,20191242
2,20200701,2020,07,01,해피 디 데이,Dog Days,켄 마리노,20200083
3,20200701,2020,07,01,포스 오브 네이쳐,Force of Nature,마이클 폴리쉬,20200912
4,20200701,2020,07,01,킬 스위치,Kill Switch,,20200802
5,20200701,2020,07,01,인베이젼 2020,Invasion,표도르 본다르추크,20208617
6,20200701,2020,07,01,소리꾼,The Singer,조정래,20196201
8,20200701,2020,07,01,부산행:익스텐디드,,연상호,20200846
9,20200709,2020,07,09,모탈: 레전드 오브 토르,MORTAL,안드레 외브레달,20201385
