국가별,2014,2015,2016,2017,2018
아시아,,,,,
한국(E.G./m.),3338,3154,3114,3236,3499
아르메니아(E.G./m.),239,212,216,221,-
방글라데시(E.G./m.),-,-,158,142,-
브루나이(E.G./m.),752,-,-,616,-
캄보디아(E.G./m.),145,161,184,-,-
중국(E.G./m.),697,740,746,-,-
키프로스(E.G./m.),1970,1651,1659,1719,1797
인도네시아(E.G./m.),134,124,-,-,-
이스라엘(E.G./m.),3167,2861,3148,-,-
일본(E.G./m.),2750,2427,2712,2626,2685
카자흐스탄(E.G./m.),711,620,449,511,-
키르기즈스탄(E.G./m.),227,199,201,215,229
라오스(E.G./m.),-,-,-,256,-
말레이시아(E.G./m.),615,522,513,-,-
네팔(E.G./m.),-,-,-,167,-
파키스탄(E.G./m.),121,137,-,161,143
필리핀,235,228,243,238,242
스리랑카(E.G./m.),140,153,160,-,-
태국,418,312,395,412,442
터키(E.G./m.),900,-,-,-,-
베트남(E.G./m.),206,241,257,241,-
북아메리카,,,,,
멕시코(E.G./m.),405,352,313,322,334
남아메리카,,,,,
아르헨티나(E.G./m.),877,-,-,963,713
벨리즈(E.G./m.),780,535,558,491,589
볼리비아(E.G./m.),355,366,378,407,489
브라질(E.G./m.),724,580,620,722,670
칠레(E.G./h.),-,-,-,1253,-
코스타리카(E.G./m.),854,967,937,953,927
도미니카공화국(E.G./m.),-,208,229,269,-
에콰도르(E.G./m.),473,484,487,477,528
엘살바도르(E.G./m.),261,276,278,305,314
과테말라(E.G./m.),371,370,380,375,375
온두라스(E.G./m.),-,352,345,329,324
파나마(E.G./m. ),698,686,688,708,-
우루과이(E.G./m.),1045,1018,906,1141,1111
유럽,,,,,
알바니아(E.G./m),-,249,260,270,318
오스트리아(E.G./m.),4361,3697,3770,3912,-
벨기에(E.G./m.),4442,3717,3724,-,-
보스니아-헤르체고비나(E.G./m.),411,344,372,375,410
불가리아(E.G./m. ),474,431,473,-,-
체코(E.G./m.),1301,1145,1201,1348,1564
덴마크(E.G./m.),6367,-,-,-,-
에스토니아(E.G./m.),-,1146,1225,1325,-
핀란드(E.G./m.),4627,3758,-,3882,-
독일(E.G./m.),5628,4854,4939,5142,5526
헝가리(E.G./m.),1120,992,1047,-,-
아이슬란드(E.G./m.),4804,4594,5389,6496,6371
아일랜드(E.G./m.),4880,4091,4131,4278,4607
라트비아(E.G./m.),-,-,-,934,1081
리투아니아(E.G./m.),-,807,887,986,1118
룩셈부르크(E.G./m.),-,3753,3750,3645,-
북마케도니아(E.G./m.),569,-,-,-,-
몰타(E.G./m.),2224,-,-,-,-
몰도바(E.G./m.),282,233,241,286,-
노르웨이(E.G./m.),6744,5407,-,5496,-
폴란드(E.G./m.),1121,973,972,1086,1219
러시아(E.G./m.),-,-,-,713,-
슬로바키아(E.G./m.),1318,1138,1189,1290,-
슬로베니아(E.G./m.),-,1749,1775,-,-
스페인(E.G./m.),2903,2440,2374,2562,2661
스웨덴(E.G./m.),4941,-,-,-,-
우크라이나(E.G./m.),300,205,217,274,-
영국(E.G./m.),-,3942,3620,3490,-
몬테네그로(E.G./m.),-,720,-,720,-
세르비아(E.G./m.),330,284,290,312,355
아프리카,,,,,
이집트(E.G./m.),-,232,199,127,-
말리(E.G./m.),104,67,73,-,-
모리셔스(E.G./m.),422,410,415,454,-
나미비아(E.G./m.),591,-,384,-,409
탄자니아(E.G./m.),149,-,-,-,-
오세아니아,,,,,
오스트레일리아(E.G./m.),4989,-,-,-,-
피지,-,-,389,-,-
뉴질랜드(E.G./m.),4082,3515,3571,3730,-
